metric,count,minimum,median,maximum,mean
disclosure_change_score,7,0.4356634521353672,0.5659278704503666,0.6617660509252454,0.5607820933810667
unchanged_rate_words,7,0.0,0.08812003454847851,0.14845510560085048,0.08141170743796114
lightly_modified_rate_words,7,0.182925833374165,0.28479652643937886,0.4744633921751979,0.3055795613052065
substantially_modified_rate_words,7,0.04343822294095187,0.07866462860813894,0.30824636189916216,0.11434818006342547
new_rate_words,7,0.10985559592556374,0.24438605058561805,0.27321360059649197,0.23037207973156168
removed_rate_words,7,0.08842697351045377,0.23685784541769123,0.3220070880804117,0.22885823574511
ambiguous_rate_words,7,0.026045851702246256,0.04300399044688513,0.05300429026088626,0.03943023571673521
alignment_coverage_count,7,0.9935956084172004,0.9962085308056872,1.0,0.9968698775894992
alignment_coverage_words,7,0.9979891293527385,0.998958414453703,1.0,0.998970285709775
embedded_coverage_earlier,7,0.9284436493738819,0.9494584837545126,1.0,0.9565383054415962
embedded_coverage_later,7,0.9346153846153846,0.9494584837545126,1.0,0.9589743631371177
heading_fragment_share_earlier,7,0.4346153846153846,0.6277665995975855,0.7382098171318575,0.6177820634865032
heading_fragment_share_later,7,0.6044176706827309,0.644524236983842,0.7784704904405653,0.657518866445509
high_confidence_share,7,0.0,0.6998556998556998,0.7355126300148589,0.5087798840235438
review_required_share,7,0.21225071225071226,0.21900161030595813,0.27426810477657937,0.22855437635011905
document_cosine_similarity,7,0.7843890829498367,0.9237040302193279,0.9524130706770421,0.9113788228239337
document_metric_disagreement_spread,7,0.20531298446338897,0.31820942774678573,0.7389719363314394,0.4042786759952518
